grid.nam,latitude,longitude,elevation,all_flower_mid,all_fruit_mid,development_time,development_time_herb,development_time_WD,flower_herb_mid,flower_WD_mid,fruit_herb_mid,fruiting_WD_mid,all_flower_var,flower_herb_var,flower_WD_var,all_fruit_var,fruit_herb_var,fruit_WD_var,MAT,TCQ,MAP,PDM,TS,PS,accu_2019
684,42.61,128.83,705.769,192.33,223.02,32.2,24.9,68,198.2,155,222.6,225.3,0.2,0.18,0.17,0.19,0.17,0.24,275.82741,259.0296,647.254,6.42065,123.124,92.2367,2493.728587
695,40.89,77.05,3511.18,193.36,214.44,24.2,18,45.1,199.3,169.3,214.4,214.6,0.17,0.14,0.16,0.1,0.1,0.1,270.79481,255.7552,203.627,2.67811,107.07,76.3858,1362.652767
696,41.13,78.21,3340.87,193.59,217.42,26.8,22.6,40.7,199.2,172.2,219.6,210.2,0.18,0.16,0.2,0.12,0.12,0.1,272.01754,257.5956,214.791,2.0525,103.414,80.9405,1509.484587
697,41.37,79.38,2078.42,193.52,216.53,24.1,20.6,45.1,196.6,171,216.7,215.3,0.16,0.15,0.19,0.13,0.12,0.17,278.50559,263.84379,180.024,2.43946,104.962,74.2661,2882.046374
698,41.59,80.56,2297.44,195.18,218.66,23.7,20.4,43.7,198,173.9,218.9,217.2,0.16,0.15,0.21,0.13,0.12,0.18,276.9508,261.8269,186.785,1.98714,107.984,79.1737,2566.94067
699,41.8,81.74,1832.43,192.72,217.42,23.9,20.8,41.7,195.2,175.7,217.9,214.4,0.16,0.15,0.23,0.13,0.12,0.19,278.90479,263.0475,169.471,1.71921,112.265,79.8244,2926.176322
700,42,82.93,1712.68,198.01,218.33,20.5,17.7,45.9,200.3,170.2,218.8,214,0.15,0.13,0.22,0.11,0.1,0.18,279.25332,262.563,139.033,1.66279,117.237,81.9921,3321.780883
701,42.19,84.13,2224.51,197.8,218.34,21.2,18.4,45.9,200.4,166.7,219.2,210.8,0.15,0.13,0.21,0.11,0.1,0.15,274.81066,257.8906,174.86,1.40237,118.353,95.1579,2478.141145
702,42.37,85.33,2673.77,197.94,218.01,20.9,18.3,42.8,200.3,172.4,218.6,212.7,0.14,0.13,0.21,0.11,0.11,0.18,272.985797,257.5752,206.172,1.08363,109.501,102.614,1934.328835
703,42.54,86.54,2319.63,193.19,214.38,21.2,18.3,47.7,195.5,166.9,214.3,215.6,0.17,0.16,0.18,0.15,0.14,0.17,276.17514,261.7608,189.931,0.828781,104.996,96.484,2129.067413
704,42.7,87.76,1858.56,192.57,214.1,21.6,18.7,49.9,194.9,164.5,214,215.5,0.17,0.16,0.17,0.15,0.14,0.18,277.45305,262.0728,163.981,1.34349,113.636,77.2279,2732.589835
705,42.85,88.98,501.2,191.16,213.16,22,19.2,47.4,193.8,162.9,213.4,211.2,0.17,0.16,0.18,0.15,0.15,0.21,284.0113,265.94979,59.7205,0.779354,134.538,49.2208,4943.59603
706,42.98,90.2,1031.78,192.23,215.65,24.6,21,45.2,196.7,161.4,217,206.1,0.16,0.14,0.19,0.15,0.13,0.28,281.96968,264.25125,67.4847,0.591204,131.029,64.7559,4148.977402
707,43.11,91.43,755.366,192.73,216.07,23.5,20.1,51.7,195.7,163.3,216.5,212.2,0.16,0.15,0.19,0.14,0.13,0.24,282.94507,265.11426,45.4466,0.192854,131.142,80.3778,4213.564347
708,43.23,92.67,1497.32,192.22,216.72,24.2,20.3,54.7,195.3,164.4,216.7,217,0.15,0.14,0.15,0.13,0.11,0.21,279.75107,263.24642,107.023,1.42615,122.273,77.4154,3168.10441
709,43.33,93.9,2126.34,193.49,217.41,23.6,19.7,55.1,196.5,165.2,217.3,218.1,0.16,0.14,0.15,0.13,0.12,0.21,275.30187,260.9687,145.231,1.83839,108.632,85.6596,2305.293163
710,43.43,95.14,966.575,194.6,219.47,24.4,21.1,50.1,197.8,167.3,219.7,216.9,0.16,0.15,0.14,0.13,0.12,0.24,280.42326,263.5727,57.1905,1.01844,123.916,86.2134,3773.576118
